1,Babar Azam,885,batting_t20,PAKISTAN,
2,Colin Munro,825,batting_t20,NEW ZEALAND,
3,Glenn Maxwell,815,batting_t20,AUSTRALIA,
4,Aaron Finch,782,batting_t20,AUSTRALIA,
5,Lokesh Rahul,726,batting_t20,INDIA,
6,Hazratullah Zazai,718,batting_t20,AFGHANISTAN,
7,D Arcy Short,715,batting_t20,AUSTRALIA,
8,Evin Lewis,707,batting_t20,WINDIES,
9,Fakhar Zaman,700,batting_t20,PAKISTAN,
10,Alex Hales,678,batting_t20,ENGLAND,
11,Rohit Sharma,673,batting_t20,INDIA,
12,Kane Williamson,655,batting_t20,NEW ZEALAND,
13,Martin Guptill,650,batting_t20,NEW ZEALAND,
14,Jason Roy,648,batting_t20,ENGLAND,
15,Reeza Hendricks,647,batting_t20,SOUTH AFRICA,
16,Shaiman Anwar,644,batting_t20,UNITED ARAB EMIRATES,
17,Shikhar Dhawan,644,batting_t20,INDIA,
18,Virat Kohli,627,batting_t20,INDIA,
19,Mohammad Shahzad,609,batting_t20,AFGHANISTAN,
20,Hamilton Masakadza,599,batting_t20,ZIMBABWE,
21,Joe Root,592,batting_t20,ENGLAND,
22,Faf du Plessis,588,batting_t20,SOUTH AFRICA,
23,David Miller,579,batting_t20,SOUTH AFRICA,
24,Jos Buttler,574,batting_t20,ENGLAND,
25,Eoin Morgan,572,batting_t20,ENGLAND,
26,Paul Stirling,567,batting_t20,IRELAND,
27,Kusal Perera,552,batting_t20,SRI LANKA,
28,Shoaib Malik,547,batting_t20,PAKISTAN,
29,Kyle Coetzer,542,batting_t20,SCOTLAND,
30,Mohammad Nabi,527,batting_t20,AFGHANISTAN,
31,Mahmudullah,526,batting_t20,BANGLADESH,
32,Jean-Paul Duminy,525,batting_t20,SOUTH AFRICA,
33,Hashim Amla,524,batting_t20,SOUTH AFRICA,
34,Malcolm Waller,521,batting_t20,ZIMBABWE,
35,Richie Berrington,521,batting_t20,SCOTLAND,
36,Thisara Perera,520,batting_t20,SRI LANKA,
37,Sabbir Rahman,518,batting_t20,BANGLADESH,
38,Solomon Mire,517,batting_t20,ZIMBABWE,
39,George Munsey,516,batting_t20,SCOTLAND,
40,Shakib Al Hasan,515,batting_t20,BANGLADESH,
41,Rassie van der Dussen,513,batting_t20,SOUTH AFRICA,
42,Tamim Iqbal,499,batting_t20,BANGLADESH,
43,Dawid Malan,490,batting_t20,ENGLAND,
44,Soumya Sarkar,486,batting_t20,BANGLADESH,
45,Najibullah Zadran,479,batting_t20,AFGHANISTAN,
46,Sarfaraz Ahmed,475,batting_t20,PAKISTAN,
47,Liton Das,473,batting_t20,BANGLADESH,
48,Marlon Samuels,469,batting_t20,WINDIES,
49,Stephan Myburgh,465,batting_t20,NETHERLANDS,
50,Quinton de Kock,463,batting_t20,SOUTH AFRICA,
51,Wesley Barresi,456,batting_t20,NETHERLANDS,
52,Ross Taylor,454,batting_t20,NEW ZEALAND,
53,Mushfiqur Rahim,451,batting_t20,BANGLADESH,
54,Asghar Afghan,448,batting_t20,AFGHANISTAN,
55,Calum MacLeod,446,batting_t20,SCOTLAND,
56,Jonny Bairstow,445,batting_t20,ENGLAND,
57,Sean Williams,443,batting_t20,ZIMBABWE,
58,MS Dhoni,441,batting_t20,INDIA,
59,Hussain Talat,439,batting_t20,PAKISTAN,
60,Samiullah Shenwari,432,batting_t20,AFGHANISTAN,
61,David Warner,426,batting_t20,AUSTRALIA,
62,Mohammad Hafeez,426,batting_t20,PAKISTAN,
63,Kevin O Brien,425,batting_t20,IRELAND,
64,Elton Chigumbura,424,batting_t20,ZIMBABWE,
65,Manish Pandey,419,batting_t20,INDIA,
66,Gary Wilson,419,batting_t20,IRELAND,
67,Ben Cooper ,407,batting_t20,AUSTRALIA,
68,Chris Gayle,406,batting_t20,WINDIES,
69,Tobias Visee,405,batting_t20,NETHERLANDS,
70,Suresh Raina,402,batting_t20,INDIA,
71,Matthew Cross,396,batting_t20,SCOTLAND,
72,Ahmed Shehzad,388,batting_t20,PAKISTAN,
73,Kusal Mendis,385,batting_t20,SRI LANKA,
74,William Porterfield,377,batting_t20,IRELAND,
75,Andre Fletcher,365,batting_t20,WINDIES,
76,Corey Anderson,354,batting_t20,NEW ZEALAND,
77,Nicholas Pooran,353,batting_t20,WINDIES,
78,Mohammad Usman,349,batting_t20,UNITED ARAB EMIRATES,
79,Niroshan Dickwella,349,batting_t20,SRI LANKA,
80,Mark Chapman,347,batting_t20,NEW ZEALAND,
81,Usman Ghani,345,batting_t20,AFGHANISTAN,
82,Farhaan Behardien,344,batting_t20,SOUTH AFRICA,
83,Asif Ali,342,batting_t20,PAKISTAN,
84,Brendan Taylor,342,batting_t20,ZIMBABWE,
85,Sam Billings,339,batting_t20,ENGLAND,
86,Rohan Mustafa,329,batting_t20,UNITED ARAB EMIRATES,
87,Tim Seifert,326,batting_t20,NEW ZEALAND,
88,Travis Head,326,batting_t20,AUSTRALIA,
89,Chamu Chibhabha,326,batting_t20,ZIMBABWE,
90,Danushka Gunathilaka,318,batting_t20,SRI LANKA,
92,Dinesh Chandimal,313,batting_t20,SRI LANKA,
93,Chris Lynn,312,batting_t20,AUSTRALIA,
94,Peter Moores,311,batting_t20,ENGLAND,
95,Paras Khadka,305,batting_t20,NEPAL,
96,Andrew Balbirnie,301,batting_t20,IRELAND,
97,Angelo Mathews,294,batting_t20,SRI LANKA,
98,Dinesh Karthik,293,batting_t20,INDIA,
99,Heinrich Klaasen,285,batting_t20,SOUTH AFRICA,
100,Shai Hope,284,batting_t20,WINDIES,